phase3_duration,phase3_Peso_avg,phase3_Presion_avg,phase3_Presion_max,phase3_Visco_max,phase3_Densidad_max
14795.0,5609.652,1.2224443,3.1423612,820.0,61050.656
6845.0,13498.778,1.4797637,2.9786627,999.0,73526.016
6845.0,13498.778,1.4797637,2.9786627,999.0,73526.016
8315.0,10918.337,1.3965951,2.8211806,741.0,69612.48
350.0,94.36168,0.22050498,0.2919757,0.0,4312.9844
5255.0,19901.973,1.5857285,2.7459493,890.0,73009.96
31410.0,3060.5771,1.2234511,2.8291721,850.0,65810.66
3190.0,31649.055,2.0152714,3.119213,821.742,63147.03
31410.0,3060.5771,1.2234511,2.8291721,850.0,65810.66
3190.0,31649.055,2.0152714,3.119213,821.742,63147.03
10485.0,9449.165,1.3569132,2.777778,674.4619,63831.918
11750.0,8686.389,1.3620175,2.9264994,870.0,64930.957
10485.0,9449.165,1.3569132,2.777778,674.4619,63831.918
11750.0,8686.389,1.3620175,2.9264994,870.0,64930.957
4660.0,21671.0,1.7011303,2.9861112,800.0,63249.79
3120.0,12045.155,1.3248622,2.2800927,845.0,58365.973
5025.0,15866.031,0.92396355,2.03125,0.0,61143.23
2960.0,31676.88,1.8238068,2.733742,604.4041,72678.82
3460.0,29848.29,1.8891815,2.9687502,800.0,63913.15
25.0,0.0,0.6018519,0.6018519,0.0,0.0
25.0,0.0,0.6018519,0.6018519,0.0,0.0
2960.0,31676.88,1.8238068,2.733742,604.4041,72678.82
3460.0,29848.29,1.8891815,2.9687502,800.0,63913.15
5250.0,18800.367,1.6845713,3.269676,900.0,61629.11
3645.0,27561.072,1.7910905,2.86169,800.0,64346.523
3615.0,28842.047,1.9217479,3.096065,850.0,62620.47
3310.0,31244.084,1.8925159,2.9385173,800.0,64927.652
6425.0,16297.663,1.5423898,3.0050778,750.0,63517.2
5630.0,18498.396,1.6020224,3.0779922,822.0,60843.438
2890.0,37281.06,2.1552541,3.1042662,840.0,62356.215
9000.0,11523.47,1.4651996,3.1886575,800.0,62215.668
8030.0,4830.411,1.2124783,2.2821066,800.0,55177.08
14615.0,8048.007,1.3505174,2.8935187,829.57715,63343.336
3535.0,29038.508,1.8993036,3.045895,760.0,62791.375
14615.0,8048.007,1.3505174,2.8935187,829.57715,63343.336
3535.0,29038.508,1.8993036,3.045895,760.0,62791.375
2695.0,38166.09,2.2085433,3.1521435,816.6,63931.926
4805.0,22214.982,1.6938919,2.9622276,800.0,62483.477
3165.0,32919.75,2.0108168,3.0417397,794.9105,62706.01
5750.0,18581.648,1.6360397,3.185764,850.0,60594.56
6160.0,16387.54,1.5630797,3.0317063,850.0,62583.227
3520.0,28459.82,1.8907571,3.0176852,725.40326,61688.883
63385.0,1463.1732,1.1626347,2.9166667,800.0,62209.016
6395.0,15789.465,1.5890024,3.1545792,840.0,62099.613
4225.0,536.76764,0.25108212,0.44882756,0.0,1112.8142
73630.0,823.0421,1.1815269,3.1250002,942.0,60535.867
125.0,58336.29,3.0054166,3.0092595,0.0,58553.16
73630.0,823.0421,1.1815269,3.1250002,942.0,60535.867
125.0,58336.29,3.0054166,3.0092595,0.0,58553.16
170.0,57203.203,3.128113,3.1365743,0.0,57484.574
59040.0,1559.7318,1.1957117,2.9890049,846.0,70908.15
59040.0,1559.7318,1.1957117,2.9890049,846.0,70908.15
7080.0,12609.607,1.3890105,3.0370371,762.0846,65280.363
1155.0,61444.62,2.8470445,2.8906252,0.0,63510.367
1850.0,197.90417,0.22127603,1.2123843,0.0,49685.402
7080.0,12609.607,1.3890105,3.0370371,762.0846,65280.363
1155.0,61444.62,2.8470445,2.8906252,0.0,63510.367
10390.0,7736.122,1.4021282,3.2085552,0.0,61216.766
135.0,59689.85,2.794609,2.7980325,0.0,59951.445
21110.0,3677.685,1.2275289,2.8530095,0.0,72673.88
135.0,57317.29,3.085132,3.0873845,0.0,57580.61
21110.0,3677.685,1.2275289,2.8530095,0.0,72673.88
135.0,57317.29,3.085132,3.0873845,0.0,57580.61
60.0,60461.57,2.9095225,2.9108799,0.0,60553.92
60.0,60461.57,2.9095225,2.9108799,0.0,60553.92
